Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
238	Spectrogram 1	1	2019/2/3  9:40:39.5837	12939.583706832	12942.117857764	49.462	96.237	D
239	Spectrogram 1	1	2019/2/3  9:47:31.2919	13351.291853416	13356.360155280	56.989	87.634	D
240	Spectrogram 1	1	2019/2/3  9:48:50.8940	13430.894006211	13434.993368012	58.065	88.172	D
241	Spectrogram 1	1	2019/2/3  9:55:58.0493	13858.049305901	13860.881592236	65.054	90.860	D
242	Spectrogram 1	1	2019/2/3  9:56:35.0496	13895.049605901	13903.695532609	19.892	31.183	Antarctic
243	Spectrogram 1	1	2019/2/3  10:07:04.0869	14524.086897826	14535.266975466	19.355	29.032	Antarctic
244	Spectrogram 1	1	2019/2/3  10:10:44.4099	14744.409861180	14754.993668012	20.968	29.570	Antarctic
245	Spectrogram 1	1	2019/2/3  10:11:26.5960	14786.596020807	14794.720210559	20.430	29.032	Antarctic
246	Spectrogram 1	1	2019/2/3  10:12:01.9996	14821.999600000	14827.440571118	30.108	73.656	D
247	Spectrogram 1	1	2019/2/3  10:13:49.7015	14929.701464596	14938.272857453	20.430	29.032	Antarctic
248	Spectrogram 1	1	2019/2/3  10:16:09.9005	15069.900538199	15082.273157453	19.892	29.570	Antarctic
249	Spectrogram 1	1	2019/2/3  10:17:05.5773	15125.577324845	15133.999650000	18.817	29.032	Antarctic
250	Spectrogram 1	1	2019/2/3  10:18:02.2980	15182.298035404	15191.391165217	20.430	29.032	Antarctic
251	Spectrogram 1	1	2019/2/3  10:22:17.0556	15437.055637888	15439.440721118	37.097	81.720	D
252	Spectrogram 1	1	2019/2/3  10:24:41.9499	15581.949894099	15584.334977329	42.473	73.656	D
253	Spectrogram 1	1	2019/2/3  10:25:41.5029	15641.502890994	15644.037041925	56.452	89.785	D
